Action,Prix
ABJC,3470
BICB,5150
BICC,22500
BNBC,1580
BOAB,7395
BOABF,5680
BOAC,8485
BOAM,4630
BOAN,2885
BOAS,6690
CABC,4190
CBIBF,15215
CFAC,1640
CIEC,3100
ECOC,15615
ETIT,34
FTSC,2305
LNBB,3895
NEIC,1400
NSBC,14200
NTLC,12000
ONTBF,2850
ORAC,15005
ORGT,3565
PALC,8600
PRSC,4920
SAFC,7400
SCRC,2025
SDCC,7250
SDSC,1895
SEMC,1960
SGBC,34000
SHEC,2125
SIBC,7095
SICC,4245
SIVC,3160
SLBC,37200
SMBC,12000
SNTS,28800
SOGC,7970
SPHC,7320
STAC,3450
STBC,20800
TTLC,2800
TTLS,3060
UNLC,61995
UNXC,1960
